DBN,Year,Number Tested,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %
03M145,2011,198,12.1,42.4,36.9,8.6,45.5
03M149,2006,339,24.8,40.7,30.4,4.1,34.5
03M149,2007,286,19.9,35.3,39.9,4.9,44.8
03M149,2008,270,9.6,37,49.6,3.7,53.3
03M149,2009,239,3.8,20.9,63.6,11.7,75.3
03M149,2010,225,10.2,57.8,22.2,9.8,32
03M149,2011,201,18.9,50.7,29.4,1,30.3
03M163,2006,279,8.2,19.7,50.9,21.1,72
03M163,2007,254,5.1,18.5,47.2,29.1,76.4
03M163,2008,290,1.7,7.2,54.5,36.6,91
03M163,2009,297,1.7,2,47.8,48.5,96.3
03M163,2010,301,3,22.3,33.6,41.2,74.8
03M163,2011,278,2.2,26.3,41.4,30.2,71.6
03M165,2006,298,16.4,21.5,51,11.1,62.1
03M165,2007,274,5.1,19.3,58.8,16.8,75.5
03M165,2008,245,8.2,16.3,60,15.5,75.5
03M165,2009,321,2.8,19.6,60.1,17.4,77.6
03M165,2010,368,12.5,46.5,27.7,13.3,41
03M165,2011,447,8.9,41.4,35.3,14.3,49.7
03M166,2006,256,7,13.3,39.1,40.6,79.7
03M166,2007,272,2.2,9.9,45.2,42.6,87.9
03M166,2008,264,0.8,7.2,43.6,48.5,92
03M166,2009,262,0.4,6.1,42.4,51.1,93.5
03M166,2010,261,8.4,24.1,28,39.5,67.4
03M166,2011,279,3.6,23.7,32.6,40.1,72.8
03M180,2006,174,9.8,20.1,58,12.1,70.1
03M180,2007,202,3.5,15.8,54.5,26.2,80.7
03M180,2008,246,0.8,13.4,68.7,17.1,85.8
03M180,2009,276,1.1,5.1,60.9,33,93.8
03M180,2010,284,4.6,37.7,39.8,18,57.7
03M180,2011,303,5,35.3,43.9,15.8,59.7
03M191,2006,332,12.3,40.1,40.1,7.5,47.6
03M191,2007,324,4.9,25.9,59.6,9.6,69.1
03M191,2008,324,4.3,24.4,62,9.3,71.3
03M191,2009,322,2.5,20.2,64.9,12.4,77.3
03M191,2010,302,12.6,47.4,29.8,10.3,40.1
03M191,2011,302,6,44,39.1,10.9,50
03M199,2006,329,1.8,7,40.1,51.1,91.2
03M199,2007,310,0.6,3.2,33.9,62.3,96.1
03M199,2008,325,0.3,2.5,36.6,60.6,97.2
03M199,2009,337,0.3,0,41.5,58.2,99.7
03M199,2010,262,1.1,11.1,38.2,49.6,87.8
